HexCode,IntCode,Name,Message
0x8004F084,-2147159932,"KeyVaultCrossTenantValidationNoTenantOnContext","Tenant validation failure. Cannot obtain the TenantId from the pipeline context."
0x8004F079,-2147159943,"KeyVaultCrossTenantValidationNoTenantOnUri","Tenant validation failure. Cannot obtain the TenantId from the key vault authority uri."
0x8004A128,-2147180248,"KeyVaultForbiddenByConnection","Access to Key Vault is blocked by network configuration. Please review your configuration to allow public access and configure firewall if needed. Refer https://learn.microsoft.com/en-us/power-platform/admin/online-requirements#ip-addresses-required"
0x8004A124,-2147180252,"KeyVaultForbiddenByFirewall","Access to Key Vault is blocked by firewall restrictions. Please review your configuration to allow Power Platform access to the key vault. Refer https://learn.microsoft.com/en-us/power-platform/admin/online-requirements#ip-addresses-required."
0x8004A125,-2147180251,"KeyVaultNameNotValid","Key Vault name provided is not a valid name."
0x8004A115,-2147180267,"KeyVaultPreAuthorizationValidationFailed","Key Vault PreAuthorization Validation failed."
0x8004A118,-2147180264,"KeyVaultReferencePublisherRestriction","KeyVaultReference cannot be assigned to a component from different publisher."
0x8004A127,-2147180249,"KeyVaultResourceGroupNotFound","Key Vault resource group name is not found."
0x8004A126,-2147180250,"KeyVaultResourceNotFound","Key Vault resource name is not found."
0x8004F085,-2147159931,"KeyVaultSecretValidationInvalidSecret","Key Vault secret validation failure. Key vault secret, name or reference does not follow the valid format."
0x80061680,-2147084672,"KnowledgeSearchActiveModelsAlreadyExist","An active configuration already exists for source entity {0}. Only one active configuration is allowed per source entity."
0x80060419,-2147089383,"LabelIdDoesNotMatchStepId","The label ID {0} doesn’t match the step ID {1}."
0x8004F710,-2147158256,"LanguageProvisioningSrsDataConnectorNotInstalled","The Microsoft Dynamics 365 Reporting Extensions must be installed before the language can be provisioned for this organization."
0x80090420,-2146892768,"LastPolymorphicRelationshipCannotBeDeleted","The relationship '{0}' is required by the '{1}' polymorphic lookup attribute and can't be deleted. The relationship will be removed when the polymorphic lookup attribute is deleted."
0x8004F057,-2147159977,"LayerDesiredOrderFCBIsOff","The LayerDesiredOrder parameter is present in the import request but the feature flag that allows it to be used is not enabled."
0x8004F055,-2147159979,"LayerDesiredOrderHintDiffFormOnBase","The LayerDesiredOrder parameter contains a value that will cause form [{0}] to become the base, but the Form in the incoming solution is not a full Form. This error indicates unexpected order on the layers for this Form."
0x8004F068,-2147159960,"LayerDesiredOrderHintNotSupported","The LayerDesiredOrder parameter contains a type attribute [{0}], that cannot be used on solutions that contain [{1}]. Remove it from the solution."
0x8004F054,-2147159980,"LayerDesiredOrderHintTypeNotAvailable","The LayerDesiredOrder parameter contains a type attribute [{0}] that is not available for use. The supported types are 'above' and 'below'."
0x8004F051,-2147159983,"LayerDesiredOrderInvalidLayerState","There was a match for a solution in the LayerDesiredOrder parameter but it is not possible to honor it, due to unexpected layers for the component [{0}], id [{1}]. The layer state is: [{2}]."
0x8004F049,-2147159991,"LayerDesiredOrderInvalidXML","The LayerDesiredOrder parameter contains an invalid XML schema."
0x8004F050,-2147159984,"LayerDesiredOrderInvalidXMLDetail","The LayerDesiredOrder parameter contains an invalid XML schema. Check the property [{0}]."
0x8004F052,-2147159982,"LayerDesiredOrderNotAllowedOnPatch","The LayerDesiredOrder parameter cannot be used when importing a Patch. The parameter can only be used while importing a solution."
0x8004F048,-2147159992,"LayerDesiredOrderNotSamePublisher","The solution [{0}] was used in the LayerDesiredOrder parameter, but its publisher [{1}] does not match the publisher of the solution being installed: [{2}]. This parameter can be used only by solutions from the same publisher."
0x8004F065,-2147159963,"LayerDesiredOrderNotWhitelist","The LayerDesiredOrder parameter is present in the import request of [{0}], but this solution is not allowed to use it. Solutions must be allow listed to use this feature."
0x8004F047,-2147159993,"LayerDesiredOrderPendingUpgrade","The solution [{0}] used in LayerDesiredOrder parameter has a pending upgrade. Please complete its upgrade before retrying this operation."
0x8004F056,-2147159978,"LayerDesiredOrderPublisherNotAllowed","The publisher [{0}] is not allowed to use the LayerDesiredOrder parameter."
0x8004F058,-2147159976,"LayerDesiredOrderRestrictedSolution","The LayerDesiredOrder parameter cannot be used on [{0}]."
0x80040519,-2147220199,"LeadAlreadyInClosedState","The lead is already closed."
0x80040518,-2147220200,"LeadAlreadyInOpenState","The lead is already in the open state."
0x80048573,-2147187341,"LeadingWildcardCauseTimeout","The database operation timed out; this may be due to a leading wildcard value being used in a filter condition. Please consider removing filter conditions on leading wildcard values, as these filter conditions are expensive and may cause timeouts."
0x80060483,-2147089277,"LegacyWorkflowExpressionMethodNotYetSupportedForAutomaticConversion","Async Workflow '{0}' cannot be converted because expression method '{1}' is currently not supported for automatic conversion."
